judul_resep,waktu_masak,tingkat_kesulitan,jumlah_porsi,url_sumber,bahan-bahan,cluster_label,cluster_persona
Resep Tempe Goreng Tepung Pedas Krispi yang Bikin Nagih,30mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-tempe-goreng-tepung-pedas/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai rawit', 'daun bawang', 'merica', 'ketumbar', 'tempe']",3,Masakan Cepat dan Praktis
"Resep Kikil Sapi Kuah Pedas Manis, Empuk, Kenyal, dan Sedap",2j 30mnt,Sedang,4 Porsi,https://www.masakapahariini.com/resep/resep-kikil-sapi-kuah-pedas-manis-empuk-kenyal-dan-sedap/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai merah', 'cabai rawit', 'daun salam', 'daun jeruk', 'kaldu sapi', 'limau', 'bawang', 'garam', 'merica', 'serai', 'jahe', 'kemiri', 'ketumbar', 'tomat', 'kunyit']",0,Masakan Rumit Tradisional
Resep Tempe Penyet Sambal Petis Sederhana ala Rumahan,30mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-tempe-penyet-saus-petis/,"['bawang putih', 'kecap manis', 'cabai merah', 'cabai rawit', 'gula pasir', 'garam', 'ketumbar', 'santan', 'tempe']",3,Masakan Cepat dan Praktis
Resep Bakmi Jawa Jogja Goreng Enak dan Gampang Bikinnya,1jam,Mudah,2 Porsi,https://www.masakapahariini.com/resep/resep-bakmi-jogja-goreng/,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'bawang', 'garam', 'kemiri', 'telur']",3,Masakan Cepat dan Praktis
"Resep Sayur Asem Bening Sederhana ala Rumahan, Segar dan Mudah Dibuat",45mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-sayur-asem-bening-sederhana/,"['bawang merah', 'kaldu ayam', 'cabai merah', 'daun salam', 'gula merah', 'asam jawa', 'garam', 'lengkuas', 'kacang', 'jagung']",3,Masakan Cepat dan Praktis
Resep Ayam Goreng Kemangi Pedas Manis yang Gurih dan Wangi,1jam,Sedang,4 Porsi,https://www.masakapahariini.com/resep/resep-ayam-kemangi-goreng/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai rawit', 'garam', 'merica', 'jahe', 'kunyit', 'kemangi']",0,Masakan Rumit Tradisional
Resep Tumis Kacang Panjang Tempe Sederhana dan Lezat,30mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/tumis-tempe-kacang-panjang-kecap/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai merah', 'daun salam', 'gula pasir', 'garam', 'merica', 'lengkuas', 'kacang', 'tempe']",3,Masakan Cepat dan Praktis
"Resep Ketupat Sayur Padang, Sarapan Spesial Untuk Weekend Ini",1jam,Sedang,4 Porsi,https://www.masakapahariini.com/resep/resep-ketupat-sayur-padang/,"['bawang putih', 'bawang merah', 'cabai merah', 'daun salam', 'daun jeruk', 'kaldu sapi', 'daging sapi', 'bawang', 'serai', 'jahe', 'lengkuas', 'kemiri', 'santan', 'telur', 'kunyit']",0,Masakan Rumit Tradisional
Resep Tahu Jeletot Super Pedas dan Krispi yang Bikin Nagih,45mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-tahu-jeletot/,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'cabai rawit', 'daun bawang', 'garam', 'merica', 'ketumbar', 'seledri', 'tahu', 'kol', 'wortel', 'udang']",3,Masakan Cepat dan Praktis
"Resep Sate Bulayak Pedas Khas Lombok, Pedas dan Nikmat",1jam,Mudah,2 Porsi,https://www.masakapahariini.com/resep/resep-sate-bulayak-pedas-khas-lombok-pedas-dan-nikmat/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai rawit', 'kaldu sapi', 'daging sapi', 'jeruk nipis', 'limau', 'santan', 'kacang']",3,Masakan Cepat dan Praktis
"Resep Sate Buntel Khas Solo, Juicy dan Lezat",1jam,Sedang,4 Porsi,https://www.masakapahariini.com/resep/resep-sate-buntel-kambing/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai rawit', 'daun bawang', 'daging kambing', 'limau', 'garam', 'merica', 'ketumbar', 'telur']",0,Masakan Rumit Tradisional
Resep Sate Telur Puyuh Bumbu Bacem ala Angkringan,1jam,Mudah,5 Porsi,https://www.masakapahariini.com/resep/resep-sate-telur-puyuh/,"['bawang putih', 'bawang merah', 'kecap manis', 'daun salam', 'gula pasir', 'gula merah', 'asam jawa', 'garam', 'lengkuas', 'ketumbar', 'telur']",2,Masakan Rumahan Sehari-Hari
Resep Sayur Lodeh Labu Siam Kacang Panjang Sederhana dan Sedap,1jam,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-sayur-lodeh-labu-siam-lezat-dan-mudah-dibuat/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'daun salam', 'gula merah', 'cabai hijau', 'garam', 'lengkuas', 'ketumbar', 'kunyit', 'kacang', 'tempe']",2,Masakan Rumahan Sehari-Hari
"Resep Nasi Goreng Kunyit, Enak, Wangi, dan Gurih",30mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-nasi-goreng-kunyit/,"['kunyit', 'ikan']",3,Masakan Cepat dan Praktis
